VaccDscaff1-augustus-gene-0.27	2095	3234	1604	2289	1436	2413
VaccDscaff1-augustus-gene-0.30	221	364	228	324	138	204
VaccDscaff1-augustus-gene-1.24	0	1	0	4	0	2
VaccDscaff1-augustus-gene-1.25	5	0	0	0	6	0
VaccDscaff1-augustus-gene-1.27	0	0	0	0	0	0
VaccDscaff1-augustus-gene-1.28	0	5	0	4	0	0
VaccDscaff1-augustus-gene-10.38	0	0	0	0	0	0
VaccDscaff1-augustus-gene-10.40	0	0	0	0	0	1
VaccDscaff1-augustus-gene-10.41	2	0	12	3	2	0
VaccDscaff1-augustus-gene-100.21	0	0	0	0	0	0
VaccDscaff1-augustus-gene-100.23	0	1	1	0	0	0
VaccDscaff1-augustus-gene-100.24	6	6	2	3	4	0
VaccDscaff1-augustus-gene-100.26	0	0	2	0	1	1
VaccDscaff1-augustus-gene-101.18	0	0	5	1	2	0
VaccDscaff1-augustus-gene-102.21	0	0	0	2	0	0
VaccDscaff1-augustus-gene-102.22	0	0	0	0	0	0
VaccDscaff1-augustus-gene-103.20	84	54	44	44	79	92
VaccDscaff1-augustus-gene-104.11	14	2	22	0	6	6
VaccDscaff1-augustus-gene-106.32	0	0	0	0	2	6
VaccDscaff1-augustus-gene-107.23	0	2	0	0	4	0
VaccDscaff1-augustus-gene-109.25	0	0	4	0	1	2
VaccDscaff1-augustus-gene-11.31	2	4	1	6	0	0
VaccDscaff1-augustus-gene-11.36	0	0	0	0	1	0
VaccDscaff1-augustus-gene-11.37	0	0	0	3	0	0
VaccDscaff1-augustus-gene-11.39	0	0	0	0	0	0
VaccDscaff1-augustus-gene-110.30	0	0	0	0	0	0
VaccDscaff1-augustus-gene-113.26	0	0	0	0	0	0
VaccDscaff1-augustus-gene-115.27	0	0	0	0	0	0
VaccDscaff1-augustus-gene-115.28	0	1	0	1	0	0
VaccDscaff1-augustus-gene-115.29	0	0	2	0	0	3
VaccDscaff1-augustus-gene-115.30	4	7	16	12	6	1
VaccDscaff1-augustus-gene-115.31	1	0	0	0	0	0
VaccDscaff1-augustus-gene-116.47	0	0	0	0	0	0
VaccDscaff1-augustus-gene-116.48	0	0	0	0	0	0
VaccDscaff1-augustus-gene-116.49	0	0	0	4	2	0
VaccDscaff1-augustus-gene-119.35	0	0	0	0	0	0
VaccDscaff1-augustus-gene-12.25	0	0	0	0	0	0
VaccDscaff1-augustus-gene-12.26	0	0	4	0	0	0
VaccDscaff1-augustus-gene-12.27	0	0	0	0	0	0
VaccDscaff1-augustus-gene-12.28	0	0	0	0	0	0
VaccDscaff1-augustus-gene-12.29	0	0	6	0	0	2
VaccDscaff1-augustus-gene-12.30	0	0	0	0	0	0
VaccDscaff1-augustus-gene-12.31	0	0	0	0	0	0
VaccDscaff1-augustus-gene-121.27	0	0	0	0	0	0
VaccDscaff1-augustus-gene-124.39	0	0	0	0	0	0
VaccDscaff1-augustus-gene-124.40	0	0	0	0	0	0
VaccDscaff1-augustus-gene-124.43	0	0	0	0	0	0
VaccDscaff1-augustus-gene-127.18	0	0	0	0	0	0
VaccDscaff1-augustus-gene-128.27	6	0	8	10	8	8
VaccDscaff1-augustus-gene-128.28	0	2	0	1	1	0
VaccDscaff1-augustus-gene-128.32	0	0	2	0	8	2
VaccDscaff1-augustus-gene-128.33	0	0	0	0	0	0
VaccDscaff1-augustus-gene-128.35	0	0	0	0	0	0
VaccDscaff1-augustus-gene-129.20	0	0	8	6	0	4
VaccDscaff1-augustus-gene-129.21	0	0	0	0	0	0
VaccDscaff1-augustus-gene-13.27	0	0	0	0	0	0
VaccDscaff1-augustus-gene-130.20	0	0	0	0	0	0
VaccDscaff1-augustus-gene-131.22	0	0	0	0	0	0
VaccDscaff1-augustus-gene-132.20	0	0	2	12	0	6
VaccDscaff1-augustus-gene-132.21	0	0	0	0	0	0
VaccDscaff1-augustus-gene-134.18	0	0	0	6	0	2
VaccDscaff1-augustus-gene-135.23	10	8	15	7	4	2
VaccDscaff1-augustus-gene-135.24	0	0	0	0	0	0
VaccDscaff1-augustus-gene-137.16	0	0	0	0	0	1
VaccDscaff1-augustus-gene-137.17	0	6	0	0	0	0
VaccDscaff1-augustus-gene-138.20	1312	821	1820	882	1799	885
VaccDscaff1-augustus-gene-138.25	3	510	42	846	52	242
VaccDscaff1-augustus-gene-138.28	0	0	0	0	0	0
VaccDscaff1-augustus-gene-139.9	0	0	1	0	0	0
VaccDscaff1-augustus-gene-14.20	2	4	4	16	0	6
VaccDscaff1-augustus-gene-14.21	2	4	6	4	6	10
VaccDscaff1-augustus-gene-14.22	0	4	10	2	0	0
VaccDscaff1-augustus-gene-14.24	1	0	0	1	0	0
VaccDscaff1-augustus-gene-140.18	2	1428	15	136	10	633
VaccDscaff1-augustus-gene-140.21	0	0	0	0	0	0
VaccDscaff1-augustus-gene-141.11	4	44	26	56	24	16
VaccDscaff1-augustus-gene-142.23	4	0	0	0	0	2
VaccDscaff1-augustus-gene-143.27	0	2	0	2	0	1
VaccDscaff1-augustus-gene-143.28	0	0	0	0	0	0
VaccDscaff1-augustus-gene-144.19	0	0	0	0	0	0
VaccDscaff1-augustus-gene-144.20	0	0	0	0	0	0
VaccDscaff1-augustus-gene-144.21	8	0	0	2	0	0
VaccDscaff1-augustus-gene-144.23	0	0	0	0	0	0
VaccDscaff1-augustus-gene-144.24	4	12	12	14	4	14
VaccDscaff1-augustus-gene-145.14	0	0	0	8	2	6
VaccDscaff1-augustus-gene-146.25	0	11	6	0	2	4
VaccDscaff1-augustus-gene-146.29	0	0	0	4	6	2
VaccDscaff1-augustus-gene-147.21	0	0	0	0	0	0
VaccDscaff1-augustus-gene-148.23	0	4	0	2	0	2
VaccDscaff1-augustus-gene-148.24	0	44	0	32	0	10
VaccDscaff1-augustus-gene-148.25	37	33	41	42	14	41
VaccDscaff1-augustus-gene-149.10	170	86	290	16	188	118
VaccDscaff1-augustus-gene-15.29	0	0	0	0	0	0
VaccDscaff1-augustus-gene-150.12	0	2	0	0	0	0
VaccDscaff1-augustus-gene-150.13	0	0	1	0	0	0
VaccDscaff1-augustus-gene-150.17	2	12	13	12	4	10
